,img_path,label
0,/home/royliu/Documents/dataset/traffic/none_empty_road/v1ight__5_none_empty_387.jpg,1
1,/home/royliu/Documents/dataset/traffic/none_empty_road/v13_none_empty_220.jpg,1
2,/home/royliu/Documents/dataset/traffic/none_empty_road/4_none_empty_75.jpg,1
3,/home/royliu/Documents/dataset/traffic/none_empty_road/v1ight__5_none_empty_404.jpg,1
4,/home/royliu/Documents/dataset/traffic/none_empty_road/2_none_empty_100_v3.jpg,1
5,/home/royliu/Documents/dataset/traffic/none_empty_road/2_none_empty_68.jpg,1
6,/home/royliu/Documents/dataset/traffic/none_empty_road/v1_none_empty_443.jpg,1
7,/home/royliu/Documents/dataset/traffic/none_empty_road/v17_none_empty_12.jpg,1
8,/home/royliu/Documents/dataset/traffic/none_empty_road/2_none_empty_932_v3.jpg,1
9,/home/royliu/Documents/dataset/traffic/none_empty_road/v1_none_empty_353.jpg,1
10,/home/royliu/Documents/dataset/traffic/none_empty_road/light__2_none_empty_551_v3.jpg,1
11,/home/royliu/Documents/dataset/traffic/none_empty_road/v13_none_empty_464.jpg,1
12,/home/royliu/Documents/dataset/traffic/none_empty_road/3_none_empty_26.jpg,1
13,/home/royliu/Documents/dataset/traffic/none_empty_road/v13_none_empty_82.jpg,1
14,/home/royliu/Documents/dataset/traffic/none_empty_road/light__9_none_empty_48.jpg,1
15,/home/royliu/Documents/dataset/traffic/none_empty_road/flip__2_none_empty_80.jpg,1
16,/home/royliu/Documents/dataset/traffic/none_empty_road/v1ot__21_none_empty_2.jpg,1
17,/home/royliu/Documents/dataset/traffic/none_empty_road/4_none_empty_108.jpg,1
18,/home/royliu/Documents/dataset/traffic/none_empty_road/v1ot__23_none_empty_395.jpg,1
19,/home/royliu/Documents/dataset/traffic/none_empty_road/v11_none_empty_85.jpg,1
20,/home/royliu/Documents/dataset/traffic/none_empty_road/light__9_none_empty_11.jpg,1
21,/home/royliu/Documents/dataset/traffic/none_empty_road/flip__0_none_empty_257_v3.jpg,1
22,/home/royliu/Documents/dataset/traffic/none_empty_road/rot__2_none_empty_332_v3.jpg,1
23,/home/royliu/Documents/dataset/traffic/none_empty_road/v1ot__23_none_empty_314.jpg,1
24,/home/royliu/Documents/dataset/traffic/none_empty_road/0_none_empty_107_v3.jpg,1
25,/home/royliu/Documents/dataset/traffic/none_empty_road/v15_none_empty_185.jpg,1
26,/home/royliu/Documents/dataset/traffic/none_empty_road/light__2_none_empty_848_v3.jpg,1
27,/home/royliu/Documents/dataset/traffic/none_empty_road/blur__2_none_empty_855_v3.jpg,1
